cik,name,Degree_natural,Degree_reverse,Degree_natural_wt,Degree_reverse_wt,Betweeness,Betweeness_reverse,Ap_Betweeness_natural,Ap_Betweeness_reverse,Page_Rank_wt_natural,Page_Rank_wt_reverse,authScore_r,hubScore_r,authScore_n,hubScore_n,Closeness_natural,Closeness_reverse,Degree_natural_wt_call,Degree_reverse_wt_call,Degree_natural_wt_put,Degree_reverse_wt_put
1488542,SIMPLEX TRADING LLC,7532.0,0.0,95643430000.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,61.11372161816499,0.1803084560491034,0.0,0.0,0.18030845604910228,0.6458420831583368,0.6458420831583368,43479121000.0,0.0,52164309000.0,0.0
1423053,CITADEL ADVISORS LLC,7104.0,0.0,394394177000.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,104.21813581729775,0.5434852923861297,0.0,0.0,0.5434852923861309,0.5951620706337687,0.5951620706337687,185928071000.0,0.0,208466106000.0,0.0
1446194,SUSQUEHANNA INTERNATIONAL GRP LLP,7025.0,0.0,2598166124000.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,126.63053645684936,0.5768413498144397,0.0,0.0,0.5768413498144405,0.5883309421329508,0.5883309421329508,2293709266000.0,0.0,304456858000.0,0.0
93254,GRP ONE TRADING LP,5834.0,0.0,118906920000.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,50.40306758125595,0.1592749000343876,0.0,0.0,0.15927490003438652,0.5503758052970651,0.5503758052970651,63309929000.0,0.0,55596991000.0,0.0
1595888,JANE STREET GRP LLC,4256.0,0.0,250254110000.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,30.75177205080711,0.13730547824770506,0.0,0.0,0.13730547824770398,0.4795353551103142,0.4795353551103142,126378817000.0,0.0,123875293000.0,0.0
927337,WOLVERINE TRADING LLC,3821.0,0.0,76289592000.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,12.844618927135867,0.3024678855598826,0.0,0.0,0.3024678855598829,0.45793627159023226,0.45793627159023226,36393043000.0,0.0,39896549000.0,0.0
1388391,WALLEYE TRADING LLC,3263.0,0.0,24151522000.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,9.197057130785765,0.17843428068848682,0.0,0.0,0.1784342806884862,0.43580841717443675,0.43580841717443675,8256798000.0,0.0,15894724000.0,0.0
1756111,PEAK6 INVESTMENTS LLC,3195.0,0.0,41035409000.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,21.643622832199544,0.13900971979881677,0.0,0.0,0.13900971979881627,0.4462096481682989,0.4462096481682989,19839201000.0,0.0,21196208000.0,0.0
153427,CUTLER GRP LP,2726.0,0.0,931463000.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,1.0362352239031118,0.09717421623645728,0.0,0.0,0.09717421623645665,0.43782475621040645,0.43782475621040645,489661000.0,0.0,441802000.0,0.0
1484972,HAP TRADING LLC,1928.0,0.0,2215247000.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.9906229630535426,0.1542719875505525,0.0,0.0,0.15427198755055224,0.41390216001614966,0.41390216001614966,1495629000.0,0.0,719618000.0,0.0
